   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP   NVIDIA GPU     VID   POWER
2026-07-16  22:52:39  42.68    9.9  100.0       0   69    1605    54   1.4517   37.0
2026-07-16  22:52:40  30.42    7.7  100.0       0   81    1605    54   1.4365   26.7
2026-07-16  22:52:41  51.28    7.1  100.0       0   77    1605    54   1.4540   41.0
2026-07-16  22:52:42  49.43    3.9  100.0       0   75    1605    54   1.4670   29.4
2026-07-16  22:52:43  51.01    6.4  100.0       0   87    1605    54   1.4368   44.0
2026-07-16  22:52:44  51.32    8.2  100.0       0   82    1605    54   1.4458   47.3
2026-07-16  22:52:45  49.35    8.0  100.0       0   74    1605    54   1.5042   38.7
2026-07-16  22:52:46  43.98    9.3  100.0       0   79    1605    54   1.4668   40.5
2026-07-16  22:52:47  46.53    7.8  100.0       0   81    1605    54   1.4019   34.0
2026-07-16  22:52:48  49.47    5.2  100.0       0   75    1605    54   1.4518   34.3
2026-07-16  22:52:49  50.89    5.4  100.0       0   87    1605    54   1.4521   37.6
2026-07-16  22:52:50  48.65    4.6  100.0       0   70    1605    54   1.4667   31.9
2026-07-16  22:52:51  47.03    5.4  100.0       0   84    1605    54   1.4291   39.4
2026-07-16  22:52:52  48.84    4.1  100.0       0   75    1605    54   1.3456   37.1
2026-07-16  22:52:53  49.54    4.5  100.0       0   77    1605    54   1.3922   31.6
2026-07-16  22:52:54  50.36    9.7  100.0       0   77    1605    54   1.4250   44.2
2026-07-16  22:52:55  47.47    4.2  100.0       0   78    1605    54   1.4832   34.3
2026-07-16  22:52:56  36.03    6.1  100.0       0   83    1605    54   1.3726   34.1
2026-07-16  22:52:57  45.82    5.4  100.0       0   75    1605    54   1.4586   33.9
2026-07-16  22:52:58  52.53    5.0  100.0       0   87    1605    54   1.4613   37.1
2026-07-16  22:52:59  50.80    4.8  100.0       0   77    1605    54   1.4618   33.0
2026-07-16  22:53:00  48.00    7.8  100.0       0   73    1605    54   1.4113   34.3
2026-07-16  22:53:01  49.47    9.1  100.0       0   85    1605    54   1.3435   41.0
2026-07-16  22:53:02  48.02    9.5  100.0       0   81    1605    54   1.4269   46.3
2026-07-16  22:53:03  49.71    6.4  100.0       0   77    1605    54   1.4347   40.9
2026-07-16  22:53:04  51.86    5.4  100.0       0   78    1605    54   1.3627   34.9
2026-07-16  22:53:05  47.31    4.8  100.0       0   85    1605    54   1.4547   34.7
2026-07-16  22:53:06  46.83    6.0  100.0       0   78    1605    54   1.3663   34.7
2026-07-16  22:53:07  49.02    7.8  100.0       0   78    1605    54   1.3383   40.2
2026-07-16  22:53:08  50.98    5.3  100.0       0   81    1605    54   1.4415   35.3
2026-07-16  22:53:09  50.55    6.0  100.0       0   87    1605    54   1.4410   42.6
2026-07-16  22:53:10  50.02    6.3  100.0       0   87    1605    54   1.4744   48.4
2026-07-16  22:53:11  46.59    4.9  100.0       0   80    1605    54   1.4725   42.9
2026-07-16  22:53:12  48.58    4.9  100.0       0   78    1605    54   1.4161   37.8
2026-07-16  22:53:13  49.63    5.5  100.0       0   83    1605    54   1.4602   48.6
2026-07-16  22:53:14  50.85    4.9  100.0       0   84    1605    54   1.4359   39.4
2026-07-16  22:53:15  49.01    6.4  100.0       0   77    1605    54   1.4543   43.7
2026-07-16  22:53:16  50.84    5.2  100.0       0   84    1605    54   1.4235   44.0
2026-07-16  22:53:17  45.84    6.8  100.0       0   85    1605    54   1.3894   45.0
2026-07-16  22:53:18  49.04    5.5  100.0       0   87    1605    55   1.4417   39.1
2026-07-16  22:53:19  51.61    4.8  100.0       0   87    1605    55   1.4670   37.8
2026-07-16  22:53:20  51.50   10.5  100.0       0   94    1605    55   1.3188   54.1   TEMP
2026-07-16  22:53:21  46.38    8.1  100.0       0   91    1605    55   1.4176   52.3
2026-07-16  22:53:22  49.88    8.1  100.0       0   89    1605    55   1.3356   55.3
2026-07-16  22:53:23  51.31    8.0  100.0       0   90    1605    55   1.3315   60.9
2026-07-16  22:53:24  48.14   12.6  100.0       0   89    1605    55   1.2177   64.1
2026-07-16  22:53:25  32.02    9.3  100.0       0   75    1605    55   1.3304   28.6
2026-07-16  22:53:26  31.93    9.7  100.0       0   80    1605    55   1.4128   29.6   EDP
2026-07-16  22:53:27  45.32   13.4  100.0       0   97    1605    55   1.4008   64.8   TEMP
2026-07-16  22:53:28  50.64    8.6  100.0       0   83    1605    56   1.4299   62.4
2026-07-16  22:53:29  50.09    5.4  100.0       0   78    1605    56   1.4158   40.0
2026-07-16  22:53:30  51.70   10.0  100.0       0   87    1605    56   1.3719   52.3   TEMP   PL2
2026-07-16  22:53:31  46.79   27.6  100.0       0   98    1605    56   1.3589  100.4   TEMP
2026-07-16  22:53:32  45.38   20.5  100.0       0   95    1605    56   1.4072   62.5   TEMP
2026-07-16  22:53:33  45.73   19.8  100.0       0   96    1605    56   1.4275   79.0   TEMP
2026-07-16  22:53:34  17.32   18.5  100.0       0   89    1605    57   1.3732   62.5
2026-07-16  22:53:35  46.03   17.1  100.0       0   97    1605    57   1.2650   67.9   TEMP
2026-07-16  22:53:36  48.80   16.2  100.0       0   90    1605    57   1.4136   62.9
2026-07-16  22:53:37  50.78   16.0  100.0       0   94    1605    57   1.4071   64.7
2026-07-16  22:53:38  49.68   13.0  100.0       0   85    1605    57   1.3339   46.4
2026-07-16  22:53:39  50.22   13.9  100.0       0   93    1605    57   1.3246   54.8   TEMP
2026-07-16  22:53:40  47.77   22.0  100.0       0  100    1605    57   1.4565   81.9   TEMP
2026-07-16  22:53:41  48.55   13.4  100.0       0   98    1605    57   1.4059   69.3
2026-07-16  22:53:42  49.94    7.6  100.0       0   89    1605    57   1.4185   60.0
2026-07-16  22:53:43  50.61    5.6  100.0       0   85    1605    57   1.3522   44.6
2026-07-16  22:53:44  49.56    5.2  100.0       0   77    1605    57   1.3771   38.0
2026-07-16  22:53:45  49.08    5.2  100.0       0   77    1605    57   1.4456   38.5
2026-07-16  22:53:46  52.12    5.2  100.0       0   85    1605    56   1.4590   45.5
2026-07-16  22:53:47  49.79    5.5  100.0       0   77    1605    56   1.4536   37.0
2026-07-16  22:53:48  45.78    5.5  100.0       0   81    1605    56   1.4827   35.3
2026-07-16  22:53:49  47.45    4.3  100.0       0   73    1605    56   1.4623   33.0
2026-07-16  22:53:50  44.30    5.0  100.0       0   85    1605    55   1.4680   38.7
2026-07-16  22:53:51  50.09    4.2  100.0       0   77    1605    55   1.4484   35.3
2026-07-16  22:53:52  44.71    4.8  100.0       0   71    1605    54   1.4736   36.9
2026-07-16  22:53:53  48.79    4.8  100.0       0   69    1605    54   1.4786   35.5
2026-07-16  22:53:54  49.87    4.8  100.0       0   71    1605    53   1.4386   33.1
2026-07-16  22:53:55  51.97    3.7  100.0       0   74    1605    53   1.4442   32.7
2026-07-16  22:53:56  45.57    4.2  100.0       0   69    1605    53   1.1031   30.4
2026-07-16  22:53:57  34.86    3.5  100.0       0   73    1605    53   1.4341   25.9
2026-07-16  22:53:58  50.99    6.8  100.0       0   80    1605    52   1.4713   39.6
2026-07-16  22:53:59  52.02    4.4  100.0       0   76    1605    52   1.4684   38.1
2026-07-16  22:54:00  49.63    7.6  100.0       0   77    1605    52   1.4359   46.8
2026-07-16  22:54:01  45.94   10.3  100.0       0   79    1605    52   1.5016   44.7
2026-07-16  22:54:02  48.46    4.2  100.0       0   77    1605    51   1.4709   31.7
2026-07-16  22:54:03  47.19    6.6  100.0       0   87    1605    51   1.4283   37.5
2026-07-16  22:54:03  POWER STATUS CHANGE
2026-07-16  22:54:04  36.29   19.8  100.0       0   66    1605    51   0.8446   54.0
2026-07-16  22:54:05  21.94   25.8  100.0       0   62    1605    51   0.7897   18.6
2026-07-16  22:54:06  21.57   14.4  100.0       0   62    1605    50   0.8121   14.1
2026-07-16  22:54:07  20.16   14.2  100.0       0   61    1605    50   0.8213   14.4
2026-07-16  22:54:08  21.15   23.1  100.0       0   61    1605    50   0.8320   16.4
2026-07-16  22:54:09  20.32   13.9  100.0       0   61    1605    50   0.7638   11.3
2026-07-16  22:54:10  18.75   11.2  100.0       0   61    1605    49   0.8170   11.0
2026-07-16  22:54:11  21.59   19.8  100.0       0   60    1605    49   0.8220   16.4
2026-07-16  22:54:12  21.72   16.8  100.0       0   60    1605    49   0.7891   13.5
2026-07-16  22:54:13  11.18   11.0  100.0  -49360   60    1605    49   0.8062   11.4
2026-07-16  22:54:14  21.01   27.2  100.0  -49360   61    1605    48   0.8071   17.2
2026-07-16  22:54:15  21.00   17.3  100.0  -49360   60    1605    48   0.8081   13.5
2026-07-16  22:54:16  20.80   20.6  100.0  -49360   60    1605    48   0.7993   14.2
2026-07-16  22:54:17  11.10   14.7  100.0  -49360   59    1605    48   0.7867   11.2
2026-07-16  22:54:18  20.70   16.9  100.0  -49360   60    1605    48   0.8331   15.6
2026-07-16  22:54:19  19.09   22.1  100.0  -49360   61    1605    48   0.7552   14.5
2026-07-16  22:54:20  11.27   15.4  100.0  -49360   59    1605    48   0.7964    9.7
2026-07-16  22:54:21  20.78   11.6  100.0  -49360   58    1605    48   0.7631   10.4
2026-07-16  22:54:22  11.09   13.5  100.0  -40278   60    1605    48   0.8024   10.2
2026-07-16  22:54:23  11.04   11.0  100.0  -40278   58    1605    48   0.7336   10.6
2026-07-16  22:54:24  17.37    7.1  100.0  -40278   58    1605    48   0.7971    8.9
2026-07-16  22:54:25  19.52    9.5  100.0  -40278   58    1605    48   0.7957   10.4
2026-07-16  22:54:26  18.64    7.8  100.0  -40278   60    1605    48   0.7982    8.9
2026-07-16  22:54:27  20.11    9.4  100.0  -40278   58    1605    48   0.8136   10.6
2026-07-16  22:54:28  19.99   11.1  100.0  -40278   60    1605    47   0.7980   11.0
2026-07-16  22:54:29  18.48    9.0  100.0  -40278   58    1605    47   0.7977   10.1
2026-07-16  22:54:30  17.62    5.8  100.0  -40278   58    1605    47   0.8037    8.1
2026-07-16  22:54:31  20.34    6.7  100.0  -40295   58    1605    47   0.7997    9.4
2026-07-16  22:54:32  19.33    4.9  100.0  -40295   58    1605    47   0.7527    9.2
2026-07-16  22:54:33  19.98    8.0  100.0  -40295   58    1605    47   0.8097   10.0
2026-07-16  22:54:34  11.17   18.8  100.0  -40295   58    1605    47   0.7990   10.6
2026-07-16  22:54:35  19.97    7.2  100.0  -40295   58    1605    47   0.8124    9.1
2026-07-16  22:54:36  20.21    7.4  100.0  -40295   58    1605    47   0.7822    9.6
2026-07-16  22:54:37  20.82    6.2  100.0  -40295   58    1605    47   0.7620    9.6
2026-07-16  22:54:38  20.15    6.5  100.0  -40295   58    1605    47   0.7882    9.0
2026-07-16  22:54:39  21.53   11.7  100.0  -40295   58    1605    47   0.8083   12.0
2026-07-16  22:54:40  11.09   10.9  100.0  -40382   58    1605    47   0.7987    8.9
2026-07-16  22:54:41  20.05    5.3  100.0  -40382   57    1605    47   0.7856    8.8
2026-07-16  22:54:42  20.15    6.3  100.0  -40382   57    1605    47   0.7866    9.2
2026-07-16  22:54:43  20.15    5.7  100.0  -40382   58    1605    47   0.7601    9.3
2026-07-16  22:54:44  16.68    5.7  100.0  -40382   58    1605    47   0.8311    8.1
2026-07-16  22:54:45  20.01    6.8  100.0  -40382   58    1605    47   0.7990    9.3
2026-07-16  22:54:46  11.04    9.2  100.0  -40382   58    1605    47   0.8014    8.3
2026-07-16  22:54:47  20.40    6.2  100.0  -40382   58    1605    47   0.7538    9.7
2026-07-16  22:54:48  20.52    7.9  100.0  -40382   56    1605    47   0.8065   10.0
2026-07-16  22:54:49  19.71    6.9  100.0  -39751   58    1605    47   0.7874    9.4
2026-07-16  22:54:50  20.63    8.8  100.0  -39751   58    1605    47   0.7919   10.1
2026-07-16  22:54:51  19.45    6.1  100.0  -39751   57    1605    47   0.7950    9.3
2026-07-16  22:54:52  20.67   11.7  100.0  -39751   58    1605    47   0.8030   11.4
2026-07-16  22:54:53  17.94    5.1  100.0  -39751   58    1605    47   0.8002    8.1
2026-07-16  22:54:54  21.28   14.7  100.0  -39751   58    1605    47   0.7935   12.9
2026-07-16  22:54:55  11.06   18.2  100.0  -39751   57    1605    47   0.7979   12.6
2026-07-16  22:54:56  11.05   15.5  100.0  -39751   58    1605    47   0.8064    9.6
2026-07-16  22:54:57  20.75   10.9  100.0  -39751   57    1605    47   0.7594   10.7
2026-07-16  22:54:58  11.17   15.0  100.0  -40021   58    1605    47   0.8064   11.6
2026-07-16  22:54:59  21.34   11.5  100.0  -40021   59    1605    47   0.8014   12.4
2026-07-16  22:55:00  15.76   13.2  100.0  -40021   56    1605    47   0.7583   11.8
2026-07-16  22:55:01  15.97   13.4  100.0  -40021   57    1605    47   0.7994   12.5
2026-07-16  22:55:02  18.00   15.1  100.0  -40021   58    1605    47   0.8081   13.4
2026-07-16  22:55:03  20.71   14.9  100.0  -40021   59    1605    47   0.8145   14.1
2026-07-16  22:55:04  20.25   25.7  100.0  -40021   58    1605    47   0.8014   15.5
2026-07-16  22:55:05  18.08   12.6  100.0  -40021   59    1605    47   0.7900   13.1
